aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.1219,0.7513,8,600,0.0050,0.0625,d,125.9558s
0.2731,0.8199,16,600,0.0050,0.0625,d,161.7452s
0.3898,0.8325,32,600,0.0050,0.0625,d,152.6429s
0.4445,0.8299,64,600,0.0050,0.0625,d,185.1578s
0.4555,0.8192,128,600,0.0050,0.0625,d,211.5023s
0.4467,0.8239,256,600,0.0050,0.0625,d,295.4163s
0.4414,0.8321,512,600,0.0050,0.0625,d,254.4898s
0.4408,0.8309,1024,600,0.0050,0.0625,d,250.7797s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.6043,0.9120,8,600,0.0050,0.0625,t,43.0109s
0.6717,0.9306,16,600,0.0050,0.0625,t,49.2944s
0.7741,0.9420,32,600,0.0050,0.0625,t,57.3483s
0.8252,0.9396,64,600,0.0050,0.0625,t,79.1814s
0.8436,0.9371,128,600,0.0050,0.0625,t,96.3870s
0.8455,0.9345,256,600,0.0050,0.0625,t,140.3703s
0.8440,0.9351,512,600,0.0050,0.0625,t,189.6277s
0.8406,0.9363,1024,600,0.0050,0.0625,t,300.3122s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.5050,0.8892,8,600,0.0050,0.0625,p,54.8605s
0.7308,0.9440,16,600,0.0050,0.0625,p,63.3888s
0.8375,0.9677,32,600,0.0050,0.0625,p,53.5892s
0.8915,0.9737,64,600,0.0050,0.0625,p,74.8230s
0.9141,0.9689,128,600,0.0050,0.0625,p,107.0132s
0.9214,0.9713,256,600,0.0050,0.0625,p,156.4718s
0.9243,0.9705,512,600,0.0050,0.0625,p,243.1614s
0.9250,0.9733,1024,600,0.0050,0.0625,p,389.6569s
