aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.2706,0.8003,8,600,0.0050,0.0625,d,27.8575s
0.3934,0.8320,16,600,0.0050,0.0625,d,34.8584s
0.4432,0.8412,32,600,0.0050,0.0625,d,37.6022s
0.4503,0.8350,64,600,0.0050,0.0625,d,42.8536s
0.4678,0.8467,128,600,0.0050,0.0625,d,45.3809s
0.4726,0.8579,256,600,0.0050,0.0625,d,62.8705s
0.4758,0.8525,512,600,0.0050,0.0625,d,76.3275s
0.4726,0.8530,1024,600,0.0050,0.0625,d,119.6977s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.4637,0.8230,8,600,0.0050,0.0625,t,18.0541s
0.5599,0.8428,16,600,0.0050,0.0625,t,18.0195s
0.5758,0.8446,32,600,0.0050,0.0625,t,16.0255s
0.5828,0.8461,64,600,0.0050,0.0625,t,12.3239s
0.5726,0.8310,128,600,0.0050,0.0625,t,18.5372s
0.5707,0.8275,256,600,0.0050,0.0625,t,30.4006s
0.5636,0.8259,512,600,0.0050,0.0625,t,42.7878s
0.5540,0.8248,1024,600,0.0050,0.0625,t,65.7358s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.4917,0.8910,8,600,0.0050,0.0625,p,22.8775s
0.6968,0.9327,16,600,0.0050,0.0625,p,24.0035s
0.7479,0.9382,32,600,0.0050,0.0625,p,31.1748s
0.7527,0.9338,64,600,0.0050,0.0625,p,41.0788s
0.7740,0.9332,128,600,0.0050,0.0625,p,43.4203s
0.7875,0.9413,256,600,0.0050,0.0625,p,87.7805s
0.7897,0.9438,512,600,0.0050,0.0625,p,92.4768s
0.7930,0.9507,1024,600,0.0050,0.0625,p,151.9387s
