aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.4965,0.8383,8,600,0.0050,0.0625,d,2.7490s
0.5146,0.8131,16,600,0.0050,0.0625,d,6.6499s
0.5710,0.8044,32,600,0.0050,0.0625,d,11.6317s
0.5659,0.8056,64,600,0.0050,0.0625,d,10.6477s
0.5761,0.8124,128,600,0.0050,0.0625,d,9.6788s
0.5692,0.8191,256,600,0.0050,0.0625,d,13.1615s
0.5845,0.8176,512,600,0.0050,0.0625,d,24.5298s
0.5773,0.8073,1024,600,0.0050,0.0625,d,30.7462s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.4796,0.6855,8,600,0.0050,0.0625,t,1.7325s
0.5212,0.7086,16,600,0.0050,0.0625,t,1.2794s
0.5266,0.7210,32,600,0.0050,0.0625,t,5.9211s
0.5290,0.7128,64,600,0.0050,0.0625,t,6.2347s
0.5324,0.6901,128,600,0.0050,0.0625,t,4.7217s
0.5244,0.6847,256,600,0.0050,0.0625,t,9.0785s
0.5195,0.6856,512,600,0.0050,0.0625,t,11.8197s
0.5568,0.6662,1024,600,0.0050,0.0625,t,15.8222s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.5729,0.8387,8,600,0.0050,0.0625,p,3.7004s
0.5925,0.8542,16,600,0.0050,0.0625,p,8.2429s
0.6150,0.8739,32,600,0.0050,0.0625,p,11.4076s
0.5929,0.8710,64,600,0.0050,0.0625,p,13.7826s
0.6089,0.8612,128,600,0.0050,0.0625,p,12.7925s
0.6266,0.8606,256,600,0.0050,0.0625,p,16.9172s
0.6136,0.8704,512,600,0.0050,0.0625,p,24.4207s
0.6020,0.8632,1024,600,0.0050,0.0625,p,37.8182s
