aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.4496,0.8227,256,600,0.0050,0.0625,d,387.6739s
0.4488,0.8301,256,600,0.0050,0.1250,d,283.5523s
0.4512,0.8336,256,600,0.0050,0.2500,d,298.2605s
0.4427,0.8334,256,600,0.0050,0.5000,d,311.9899s
0.4299,0.8368,256,600,0.0050,1.0000,d,205.5786s
0.3940,0.8429,256,600,0.0050,2.0000,d,156.6213s
0.3276,0.8404,256,600,0.0050,4.0000,d,141.2294s
0.2323,0.8297,256,600,0.0050,8.0000,d,82.5337s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.8421,0.9353,256,600,0.0050,0.0625,t,133.0669s
0.8458,0.9365,256,600,0.0050,0.1250,t,131.6126s
0.8447,0.9373,256,600,0.0050,0.2500,t,139.3764s
0.8426,0.9370,256,600,0.0050,0.5000,t,133.9186s
0.8333,0.9399,256,600,0.0050,1.0000,t,142.3961s
0.8026,0.9427,256,600,0.0050,2.0000,t,147.7664s
0.7435,0.9442,256,600,0.0050,4.0000,t,125.3186s
0.6515,0.9265,256,600,0.0050,8.0000,t,122.6698s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.9200,0.9729,256,600,0.0050,0.0625,p,149.1664s
0.9206,0.9684,256,600,0.0050,0.1250,p,158.4117s
0.9224,0.9699,256,600,0.0050,0.2500,p,156.3924s
0.9260,0.9716,256,600,0.0050,0.5000,p,162.5915s
0.9261,0.9746,256,600,0.0050,1.0000,p,179.2017s
0.9170,0.9751,256,600,0.0050,2.0000,p,178.7293s
0.8767,0.9743,256,600,0.0050,4.0000,p,76.5679s
0.7832,0.9660,256,600,0.0050,8.0000,p,75.3389s
