aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.4479,0.8024,256,600,0.0050,0.0625,d,80.0828s
0.4456,0.7963,256,600,0.0050,0.1250,d,79.6078s
0.4398,0.8014,256,600,0.0050,0.2500,d,73.0366s
0.4309,0.7989,256,600,0.0050,0.5000,d,70.5714s
0.4143,0.7956,256,600,0.0050,1.0000,d,68.1842s
0.3979,0.8073,256,600,0.0050,2.0000,d,57.6628s
0.3700,0.8081,256,600,0.0050,4.0000,d,63.7565s
0.2709,0.7977,256,600,0.0050,8.0000,d,65.7588s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.8157,0.9318,256,600,0.0050,0.0625,t,61.1117s
0.8163,0.9342,256,600,0.0050,0.1250,t,67.2639s
0.8139,0.9365,256,600,0.0050,0.2500,t,62.1116s
0.8136,0.9342,256,600,0.0050,0.5000,t,67.1161s
0.8059,0.9330,256,600,0.0050,1.0000,t,72.8555s
0.7793,0.9338,256,600,0.0050,2.0000,t,75.9538s
0.6864,0.9132,256,600,0.0050,4.0000,t,63.2518s
0.5104,0.8727,256,600,0.0050,8.0000,t,77.2283s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.9456,0.9796,256,600,0.0050,0.0625,p,92.2461s
0.9475,0.9797,256,600,0.0050,0.1250,p,87.3828s
0.9468,0.9795,256,600,0.0050,0.2500,p,90.2422s
0.9480,0.9792,256,600,0.0050,0.5000,p,78.1731s
0.9477,0.9806,256,600,0.0050,1.0000,p,54.7369s
0.9376,0.9833,256,600,0.0050,2.0000,p,57.0194s
0.8856,0.9808,256,600,0.0050,4.0000,p,60.8792s
0.7561,0.9492,256,600,0.0050,8.0000,p,62.3972s
