aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.9131,0.9744,256,600,0.0050,0.0000,0.0000,1.0000,1.0000,1024.0000,A1:0.7499,A2:0.2501,B1:0.6366,B2:0.3634,p,elapsedTime:1710.4527s
0.9142,0.9734,256,600,0.0050,0.0000,0.0000,1.0000,2.0000,1024.0000,A1:0.7493,A2:0.2507,B1:0.6368,B2:0.3632,p,elapsedTime:1762.9055s
0.9159,0.9740,256,600,0.0050,0.0000,0.0000,1.0000,4.0000,1024.0000,A1:0.7495,A2:0.2505,B1:0.6369,B2:0.3631,p,elapsedTime:1721.8276s
0.9157,0.9716,256,600,0.0050,0.0000,0.0000,1.0000,8.0000,1024.0000,A1:0.7483,A2:0.2517,B1:0.6356,B2:0.3644,p,elapsedTime:1783.7282s
0.9163,0.9724,256,600,0.0050,0.0000,0.0000,1.0000,16.0000,1024.0000,A1:0.7460,A2:0.2540,B1:0.6363,B2:0.3637,p,elapsedTime:1739.0528s
0.9146,0.9733,256,600,0.0050,0.0000,0.0000,1.0000,32.0000,1024.0000,A1:0.7449,A2:0.2551,B1:0.6348,B2:0.3652,p,elapsedTime:1761.3840s
0.9133,0.9721,256,600,0.0050,0.0000,0.0000,1.0000,64.0000,1024.0000,A1:0.7380,A2:0.2620,B1:0.6347,B2:0.3653,p,elapsedTime:1717.0647s
0.9148,0.9714,256,600,0.0050,0.0000,0.0000,1.0000,128.0000,1024.0000,A1:0.7295,A2:0.2705,B1:0.6373,B2:0.3627,p,elapsedTime:1774.9426s
0.9118,0.9718,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,1024.0000,A1:0.7059,A2:0.2941,B1:0.6358,B2:0.3642,p,elapsedTime:1725.6172s
0.9119,0.9714,256,600,0.0050,0.0000,0.0000,1.0000,512.0000,1024.0000,A1:0.6645,A2:0.3355,B1:0.6358,B2:0.3642,p,elapsedTime:1758.1455s
0.9129,0.9720,256,600,0.0050,0.0000,0.0000,1.0000,1024.0000,1024.0000,A1:0.5895,A2:0.4105,B1:0.6350,B2:0.3650,p,elapsedTime:1732.8196s
