aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.7596,0.9554,256,600,0.0050,0.0001,0.0001,1.0000,1.0000,256.0000,A1:1.0956,A2:-0.0956,B1:0.6678,B2:0.3322,p,elapsedTime:238.4240s
0.7595,0.9573,256,600,0.0050,0.0001,0.0001,1.0000,2.0000,256.0000,A1:1.0915,A2:-0.0915,B1:0.6666,B2:0.3334,p,elapsedTime:119.9590s
0.7586,0.9528,256,600,0.0050,0.0001,0.0001,1.0000,4.0000,256.0000,A1:1.0827,A2:-0.0827,B1:0.6668,B2:0.3332,p,elapsedTime:110.7470s
0.7612,0.9512,256,600,0.0050,0.0001,0.0001,1.0000,8.0000,256.0000,A1:1.0622,A2:-0.0622,B1:0.6676,B2:0.3324,p,elapsedTime:105.3480s
0.7584,0.9500,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,256.0000,A1:1.0145,A2:-0.0145,B1:0.6678,B2:0.3322,p,elapsedTime:104.6680s
0.7560,0.9456,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.8894,A2:0.1106,B1:0.6675,B2:0.3325,p,elapsedTime:118.9130s
0.7541,0.9400,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,256.0000,A1:0.6386,A2:0.3614,B1:0.6671,B2:0.3329,p,elapsedTime:92.0520s
0.7502,0.9371,256,600,0.0050,0.0001,0.0001,1.0000,128.0000,256.0000,A1:0.3537,A2:0.6463,B1:0.6676,B2:0.3324,p,elapsedTime:108.2360s
0.7481,0.9306,256,600,0.0050,0.0001,0.0001,1.0000,256.0000,256.0000,A1:0.1789,A2:0.8211,B1:0.6678,B2:0.3322,p,elapsedTime:117.2560s
0.7452,0.9302,256,600,0.0050,0.0001,0.0001,1.0000,512.0000,256.0000,A1:0.0934,A2:0.9066,B1:0.6673,B2:0.3327,p,elapsedTime:116.5420s
0.7449,0.9281,256,600,0.0050,0.0001,0.0001,1.0000,1024.0000,256.0000,A1:0.0483,A2:0.9517,B1:0.6682,B2:0.3318,p,elapsedTime:113.7790s
