aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.9456,0.9710,256,600,0.0050,0.0001,0.0001,1.0000,1.0000,128.0000,A1:0.9857,A2:0.0143,B1:0.6999,B2:0.3001,p,elapsedTime:280.3670s
0.9452,0.9703,256,600,0.0050,0.0001,0.0001,1.0000,2.0000,128.0000,A1:0.9849,A2:0.0151,B1:0.7013,B2:0.2987,p,elapsedTime:260.5220s
0.9463,0.9703,256,600,0.0050,0.0001,0.0001,1.0000,4.0000,128.0000,A1:0.9828,A2:0.0172,B1:0.7001,B2:0.2999,p,elapsedTime:190.5590s
0.9462,0.9696,256,600,0.0050,0.0001,0.0001,1.0000,8.0000,128.0000,A1:0.9776,A2:0.0224,B1:0.7003,B2:0.2997,p,elapsedTime:166.8720s
0.9465,0.9706,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,128.0000,A1:0.9673,A2:0.0327,B1:0.7007,B2:0.2993,p,elapsedTime:335.7780s
0.9475,0.9731,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,128.0000,A1:0.9393,A2:0.0607,B1:0.7007,B2:0.2993,p,elapsedTime:336.3700s
0.9479,0.9751,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,128.0000,A1:0.8602,A2:0.1398,B1:0.7005,B2:0.2995,p,elapsedTime:314.6410s
0.9489,0.9772,256,600,0.0050,0.0001,0.0001,1.0000,128.0000,128.0000,A1:0.6480,A2:0.3520,B1:0.7018,B2:0.2982,p,elapsedTime:305.8610s
0.9486,0.9782,256,600,0.0050,0.0001,0.0001,1.0000,256.0000,128.0000,A1:0.3903,A2:0.6097,B1:0.7016,B2:0.2984,p,elapsedTime:336.3240s
0.9488,0.9758,256,600,0.0050,0.0001,0.0001,1.0000,512.0000,128.0000,A1:0.2287,A2:0.7713,B1:0.7010,B2:0.2990,p,elapsedTime:316.5720s
0.9491,0.9757,256,600,0.0050,0.0001,0.0001,1.0000,1024.0000,128.0000,A1:0.1281,A2:0.8719,B1:0.7014,B2:0.2986,p,elapsedTime:287.2580s
