aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.5827,0.8592,256,600,0.0050,0.0001,0.0001,1.0000,1.0000,32.0000,A1:0.9469,A2:0.0531,B1:0.6761,B2:0.3239,p,elapsedTime:32.4510s
0.5812,0.8606,256,600,0.0050,0.0001,0.0001,1.0000,2.0000,32.0000,A1:0.9333,A2:0.0667,B1:0.6761,B2:0.3239,p,elapsedTime:21.7480s
0.5962,0.8653,256,600,0.0050,0.0001,0.0001,1.0000,4.0000,32.0000,A1:0.8986,A2:0.1014,B1:0.6761,B2:0.3239,p,elapsedTime:24.6460s
0.5813,0.8626,256,600,0.0050,0.0001,0.0001,1.0000,8.0000,32.0000,A1:0.8327,A2:0.1673,B1:0.6763,B2:0.3237,p,elapsedTime:38.5320s
0.5864,0.8640,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,32.0000,A1:0.7122,A2:0.2878,B1:0.6771,B2:0.3229,p,elapsedTime:32.5910s
0.5640,0.8571,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,32.0000,A1:0.5167,A2:0.4833,B1:0.6775,B2:0.3225,p,elapsedTime:22.3100s
0.5329,0.8510,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.2872,A2:0.7128,B1:0.6787,B2:0.3213,p,elapsedTime:17.8360s
0.5344,0.8462,256,600,0.0050,0.0001,0.0001,1.0000,128.0000,32.0000,A1:0.1211,A2:0.8789,B1:0.6784,B2:0.3216,p,elapsedTime:23.1150s
0.5448,0.8551,256,600,0.0050,0.0001,0.0001,1.0000,256.0000,32.0000,A1:0.0535,A2:0.9465,B1:0.6788,B2:0.3212,p,elapsedTime:21.9390s
0.5418,0.8517,256,600,0.0050,0.0001,0.0001,1.0000,512.0000,32.0000,A1:0.0271,A2:0.9729,B1:0.6788,B2:0.3212,p,elapsedTime:16.0570s
0.5333,0.8476,256,600,0.0050,0.0001,0.0001,1.0000,1024.0000,32.0000,A1:0.0137,A2:0.9863,B1:0.6793,B2:0.3207,p,elapsedTime:14.9520s
