aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.9150,0.9726,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,1.0000,A1:0.7058,A2:0.2942,B1:0.7829,B2:0.2171,p,elapsedTime:1828.2917s
0.9137,0.9734,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,2.0000,A1:0.7066,A2:0.2934,B1:0.7834,B2:0.2166,p,elapsedTime:1851.6233s
0.9125,0.9757,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,4.0000,A1:0.7061,A2:0.2939,B1:0.7815,B2:0.2185,p,elapsedTime:1829.8081s
0.9145,0.9728,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,8.0000,A1:0.7053,A2:0.2947,B1:0.7814,B2:0.2186,p,elapsedTime:1849.3225s
0.9139,0.9692,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,16.0000,A1:0.7063,A2:0.2937,B1:0.7807,B2:0.2193,p,elapsedTime:1833.2049s
0.9132,0.9733,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,32.0000,A1:0.7056,A2:0.2944,B1:0.7790,B2:0.2210,p,elapsedTime:1845.7107s
0.9150,0.9740,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,64.0000,A1:0.7044,A2:0.2956,B1:0.7739,B2:0.2261,p,elapsedTime:1858.3650s
0.9143,0.9721,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,128.0000,A1:0.7063,A2:0.2937,B1:0.7631,B2:0.2369,p,elapsedTime:1829.1642s
0.9124,0.9735,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,256.0000,A1:0.7058,A2:0.2942,B1:0.7455,B2:0.2545,p,elapsedTime:1847.2676s
0.9124,0.9733,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,512.0000,A1:0.7078,A2:0.2922,B1:0.7091,B2:0.2909,p,elapsedTime:1851.6171s
0.9141,0.9745,256,600,0.0050,0.0000,0.0000,1.0000,256.0000,1024.0000,A1:0.7050,A2:0.2950,B1:0.6373,B2:0.3627,p,elapsedTime:1388.6324s
