aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.7553,0.9503,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,1.0000,A1:0.8871,A2:0.1129,B1:0.8623,B2:0.1377,p,elapsedTime:203.2390s
0.7558,0.9485,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,2.0000,A1:0.8877,A2:0.1123,B1:0.8612,B2:0.1388,p,elapsedTime:98.9740s
0.7540,0.9502,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,4.0000,A1:0.8874,A2:0.1126,B1:0.8597,B2:0.1403,p,elapsedTime:116.3170s
0.7542,0.9475,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,8.0000,A1:0.8891,A2:0.1109,B1:0.8566,B2:0.1434,p,elapsedTime:110.0930s
0.7548,0.9516,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,16.0000,A1:0.8882,A2:0.1118,B1:0.8509,B2:0.1491,p,elapsedTime:99.0550s
0.7549,0.9523,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,32.0000,A1:0.8880,A2:0.1120,B1:0.8405,B2:0.1595,p,elapsedTime:214.2850s
0.7582,0.9531,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,64.0000,A1:0.8885,A2:0.1115,B1:0.8217,B2:0.1783,p,elapsedTime:145.2370s
0.7572,0.9466,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,128.0000,A1:0.8900,A2:0.1100,B1:0.7792,B2:0.2208,p,elapsedTime:163.8330s
0.7537,0.9442,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,256.0000,A1:0.8917,A2:0.1083,B1:0.6677,B2:0.3323,p,elapsedTime:118.6330s
0.7543,0.9420,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,512.0000,A1:0.8939,A2:0.1061,B1:0.4511,B2:0.5489,p,elapsedTime:186.3400s
0.7473,0.9386,256,600,0.0050,0.0001,0.0001,1.0000,32.0000,1024.0000,A1:0.8927,A2:0.1073,B1:0.2442,B2:0.7558,p,elapsedTime:186.2620s
