aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.9468,0.9757,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,1.0000,A1:0.8603,A2:0.1397,B1:0.8678,B2:0.1322,p,elapsedTime:376.7340s
0.9465,0.9746,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,2.0000,A1:0.8599,A2:0.1401,B1:0.8663,B2:0.1337,p,elapsedTime:311.4740s
0.9462,0.9752,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,4.0000,A1:0.8604,A2:0.1396,B1:0.8635,B2:0.1365,p,elapsedTime:321.3270s
0.9459,0.9755,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,8.0000,A1:0.8599,A2:0.1401,B1:0.8578,B2:0.1422,p,elapsedTime:316.2070s
0.9457,0.9737,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,16.0000,A1:0.8581,A2:0.1419,B1:0.8472,B2:0.1528,p,elapsedTime:319.6580s
0.9465,0.9751,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,32.0000,A1:0.8597,A2:0.1403,B1:0.8274,B2:0.1726,p,elapsedTime:300.4920s
0.9465,0.9752,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,64.0000,A1:0.8603,A2:0.1397,B1:0.7885,B2:0.2115,p,elapsedTime:270.1420s
0.9473,0.9748,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,128.0000,A1:0.8622,A2:0.1378,B1:0.7004,B2:0.2996,p,elapsedTime:140.1900s
0.9474,0.9743,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,256.0000,A1:0.8621,A2:0.1379,B1:0.5297,B2:0.4703,p,elapsedTime:139.8550s
0.9482,0.9753,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,512.0000,A1:0.8636,A2:0.1364,B1:0.3140,B2:0.6860,p,elapsedTime:151.5890s
0.9471,0.9799,256,600,0.0050,0.0001,0.0001,1.0000,64.0000,1024.0000,A1:0.8634,A2:0.1366,B1:0.1673,B2:0.8327,p,elapsedTime:157.2280s
