aupr,auc,dim,iter,learn_rate,learn_rateA,learn_rateB,lambda,lambdaA,lambdaB,A(1),A(2),B(1),B(2),drugOrTarget,elapsedTime
0.5953,0.8667,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,1.0000,A1:0.7111,A2:0.2889,B1:0.7777,B2:0.2223,p,elapsedTime:19.0050s
0.5840,0.8585,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,2.0000,A1:0.7074,A2:0.2926,B1:0.7735,B2:0.2265,p,elapsedTime:22.6370s
0.5863,0.8599,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,4.0000,A1:0.7096,A2:0.2904,B1:0.7655,B2:0.2345,p,elapsedTime:20.9190s
0.5944,0.8612,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,8.0000,A1:0.7107,A2:0.2893,B1:0.7493,B2:0.2507,p,elapsedTime:22.6620s
0.5843,0.8592,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,16.0000,A1:0.7105,A2:0.2895,B1:0.7222,B2:0.2778,p,elapsedTime:20.3240s
0.5864,0.8619,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,32.0000,A1:0.7113,A2:0.2887,B1:0.6768,B2:0.3232,p,elapsedTime:21.3620s
0.5684,0.8537,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,64.0000,A1:0.7064,A2:0.2936,B1:0.5953,B2:0.4047,p,elapsedTime:18.8090s
0.5019,0.8407,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,128.0000,A1:0.7188,A2:0.2812,B1:0.4182,B2:0.5818,p,elapsedTime:16.9560s
0.4953,0.8476,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,256.0000,A1:0.7191,A2:0.2809,B1:0.2178,B2:0.7822,p,elapsedTime:19.3660s
0.5725,0.8592,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,512.0000,A1:0.7194,A2:0.2806,B1:0.1082,B2:0.8918,p,elapsedTime:16.6690s
0.5739,0.8592,256,600,0.0050,0.0001,0.0001,1.0000,16.0000,1024.0000,A1:0.7173,A2:0.2827,B1:0.0544,B2:0.9456,p,elapsedTime:21.1370s
