aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.3030,0.7627,8,600,0.0050,0.0625,d,23.7410s
0.3503,0.7887,16,600,0.0050,0.0625,d,30.4984s
0.3929,0.8153,32,600,0.0050,0.0625,d,34.7144s
0.4293,0.8047,64,600,0.0050,0.0625,d,42.3586s
0.4410,0.7988,128,600,0.0050,0.0625,d,62.0136s
0.4487,0.7999,256,600,0.0050,0.0625,d,83.4760s
0.4447,0.7969,512,600,0.0050,0.0625,d,75.1851s
0.4488,0.8074,1024,600,0.0050,0.0625,d,126.1592s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.7109,0.9256,8,600,0.0050,0.0625,t,25.5435s
0.7832,0.9407,16,600,0.0050,0.0625,t,19.5688s
0.8237,0.9398,32,600,0.0050,0.0625,t,24.8580s
0.8167,0.9345,64,600,0.0050,0.0625,t,35.9317s
0.8212,0.9407,128,600,0.0050,0.0625,t,37.6529s
0.8160,0.9396,256,600,0.0050,0.0625,t,56.6314s
0.8150,0.9342,512,600,0.0050,0.0625,t,76.3504s
0.8126,0.9332,1024,600,0.0050,0.0625,t,128.9704s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.7544,0.9443,8,600,0.0050,0.0625,p,36.1651s
0.8690,0.9760,16,600,0.0050,0.0625,p,42.4247s
0.9251,0.9830,32,600,0.0050,0.0625,p,37.2357s
0.9378,0.9778,64,600,0.0050,0.0625,p,52.2082s
0.9390,0.9764,128,600,0.0050,0.0625,p,64.9336s
0.9445,0.9782,256,600,0.0050,0.0625,p,76.7666s
0.9457,0.9793,512,600,0.0050,0.0625,p,76.1813s
0.9458,0.9817,1024,600,0.0050,0.0625,p,169.1657s
