aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.4702,0.8476,256,600,0.0050,0.0625,d,69.8917s
0.4700,0.8511,256,600,0.0050,0.1250,d,70.6504s
0.4732,0.8490,256,600,0.0050,0.2500,d,74.3298s
0.4732,0.8556,256,600,0.0050,0.5000,d,67.3917s
0.4633,0.8598,256,600,0.0050,1.0000,d,68.3555s
0.4435,0.8681,256,600,0.0050,2.0000,d,52.0916s
0.3862,0.8623,256,600,0.0050,4.0000,d,61.0322s
0.2735,0.8249,256,600,0.0050,8.0000,d,69.3023s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.5683,0.8264,256,600,0.0050,0.0625,t,26.5107s
0.5655,0.8271,256,600,0.0050,0.1250,t,26.3240s
0.5690,0.8256,256,600,0.0050,0.2500,t,29.3935s
0.5609,0.8231,256,600,0.0050,0.5000,t,27.6047s
0.5308,0.8168,256,600,0.0050,1.0000,t,27.6203s
0.4618,0.7931,256,600,0.0050,2.0000,t,28.5035s
0.3422,0.7459,256,600,0.0050,4.0000,t,26.3460s
0.2049,0.6822,256,600,0.0050,8.0000,t,25.5619s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.7871,0.9437,256,600,0.0050,0.0625,p,74.5153s
0.7879,0.9362,256,600,0.0050,0.1250,p,80.1706s
0.7934,0.9452,256,600,0.0050,0.2500,p,72.8397s
0.7896,0.9451,256,600,0.0050,0.5000,p,81.2671s
0.7875,0.9525,256,600,0.0050,1.0000,p,65.6322s
0.7702,0.9545,256,600,0.0050,2.0000,p,78.3515s
0.6904,0.9383,256,600,0.0050,4.0000,p,45.4660s
0.4273,0.8791,256,600,0.0050,8.0000,p,55.0085s
