aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.5773,0.8276,256,600,0.0050,0.0625,d,12.2950s
0.5720,0.8151,256,600,0.0050,0.1250,d,10.1962s
0.5925,0.8218,256,600,0.0050,0.2500,d,11.9337s
0.5783,0.8185,256,600,0.0050,0.5000,d,10.9734s
0.5614,0.8121,256,600,0.0050,1.0000,d,17.4432s
0.4702,0.8267,256,600,0.0050,2.0000,d,11.7145s
0.3282,0.7281,256,600,0.0050,4.0000,d,13.7977s
0.2744,0.6419,256,600,0.0050,8.0000,d,12.4311s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.5184,0.6652,256,600,0.0050,0.0625,t,8.4277s
0.5243,0.6669,256,600,0.0050,0.1250,t,6.2717s
0.5154,0.6639,256,600,0.0050,0.2500,t,7.7888s
0.5191,0.6494,256,600,0.0050,0.5000,t,10.7549s
0.5438,0.6432,256,600,0.0050,1.0000,t,9.1299s
0.3995,0.6270,256,600,0.0050,2.0000,t,10.4747s
0.3275,0.5884,256,600,0.0050,4.0000,t,7.4708s
0.3256,0.5776,256,600,0.0050,8.0000,t,7.3540s
aupr, auc, dim, iter, learn_rate, lambda, drugTargetPair, Elapsed time(s)
0.6057,0.8803,256,600,0.0050,0.0625,p,18.3781s
0.6185,0.8619,256,600,0.0050,0.1250,p,19.3535s
0.6166,0.8820,256,600,0.0050,0.2500,p,14.8162s
0.6170,0.8660,256,600,0.0050,0.5000,p,14.9348s
0.6154,0.8736,256,600,0.0050,1.0000,p,18.7009s
0.5628,0.8562,256,600,0.0050,2.0000,p,19.1097s
0.4140,0.7785,256,600,0.0050,4.0000,p,13.1963s
0.2527,0.7064,256,600,0.0050,8.0000,p,21.5121s
